id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
202,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,OKTOBER,72.0,MILIMETER,2019
203,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,NOVEMBER,78.0,MILIMETER,2019
204,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,DESEMBER,91.0,MILIMETER,2019
205,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JANUARI,57.0,MILIMETER,2019
206,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,FEBRUARI,37.0,MILIMETER,2019
207,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MARET,48.0,MILIMETER,2019
208,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,APRIL,85.5,MILIMETER,2019
209,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MEI,36.0,MILIMETER,2019
210,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JUNI,42.5,MILIMETER,2019
211,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JULI,32.0,MILIMETER,2019
212,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,AGUSTUS,47.0,MILIMETER,2019
213,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,SEPTEMBER,0.0,MILIMETER,2019
214,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,OKTOBER,38.0,MILIMETER,2019
215,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,NOVEMBER,52.0,MILIMETER,2019
216,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,DESEMBER,68.0,MILIMETER,2019
217,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JANUARI,28.0,MILIMETER,2019
218,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,FEBRUARI,86.0,MILIMETER,2019
219,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MARET,28.0,MILIMETER,2019
220,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,APRIL,127.0,MILIMETER,2019
221,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MEI,20.0,MILIMETER,2019
222,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JUNI,32.0,MILIMETER,2019
223,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JULI,16.0,MILIMETER,2019
224,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,AGUSTUS,2.0,MILIMETER,2019
225,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,SEPTEMBER,3.0,MILIMETER,2019
226,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,OKTOBER,59.5,MILIMETER,2019
227,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,NOVEMBER,21.0,MILIMETER,2019
228,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,DESEMBER,46.0,MILIMETER,2019
229,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JANUARI,49.0,MILIMETER,2019
230,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,FEBRUARI,10.0,MILIMETER,2019
231,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MARET,30.0,MILIMETER,2019
232,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,APRIL,69.0,MILIMETER,2019
233,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MEI,73.0,MILIMETER,2019
234,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JUNI,41.0,MILIMETER,2019
235,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JULI,40.0,MILIMETER,2019
236,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,AGUSTUS,118.0,MILIMETER,2019
